시기,날짜,기사제목,url,감정,수치,분류근거
시행전,2025-05-29,"동서울터미널, 39층 복합타워 재탄생",https://n.news.naver.com/mnews/article/009/0005500899,중립,0.9999727010726928,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,강남 수서 일대 1만6천가구 재건축 시동,https://n.news.naver.com/mnews/article/009/0005500898,중립,0.999963879585266,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,구로서 82점 청약통장 나와,https://n.news.naver.com/mnews/article/009/0005500897,중립,0.999926209449768,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,금리인하 겹쳐 … 브레이크 없는 서울 집값,https://n.news.naver.com/article/009/0005500896,중립,0.99970680475235,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"자이, 앱 기반 ‘미니창고 다락’ 서비스 도입",https://n.news.naver.com/article/243/0000078805,중립,0.9999339580535888,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"지방은 떨어진다는데…지붕 뚫은 서울 아파트값, 17주 연속 상승세",https://n.news.naver.com/article/029/0002958367,긍정,0.8555307984352112,단어 '상승'이(가) 포함되어 긍정적으로 분석되었습니다.
시행전,2025-05-29,"백원국 국토차관 ""APEC 정상회의, 국가 위상 높일 기회""",https://n.news.naver.com/article/421/0008283618,중립,0.9999423027038574,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,동대구역 ‘초역세권’ 입지 누리는 프리미엄 라이프… DL이앤씨 ‘e편한세상 동대구역 센텀스퀘어’ 공급,https://n.news.naver.com/article/022/0004039477,중립,0.7835222482681274,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,'한국 부동산 시장 어디로 갈 것인가'…전문가들 모였다,https://n.news.naver.com/article/015/0005138405,중립,0.991027057170868,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,서울 신축 아파트에 '20억 돌덩이'…논란 폭발하더니 결국,https://n.news.naver.com/article/015/0005138401,중립,0.9994149208068848,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,‘공공주택 공급’ 강조했으나 ‘얼마나’는 빠져…취약계층 지원 공약도 ‘부실’,https://n.news.naver.com/article/032/0003372885,중립,0.9999121427536012,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,천장 없는 강남3구…서울 아파트값 17주 연속 상승,https://n.news.naver.com/article/629/0000394401,긍정,0.9628926515579224,단어 '상승'이(가) 포함되어 긍정적으로 분석되었습니다.
시행전,2025-05-29,압구정 현대·이촌한강 '신고가 행진'…강남권 주변으로 상승세 확산,https://n.news.naver.com/article/015/0005138391,긍정,0.9998857975006104,단어 '상승'이(가) 포함되어 긍정적으로 분석되었습니다.
시행전,2025-05-29,조정대상지역 지정 등 정부 '규제카드' 만지작,https://n.news.naver.com/article/015/0005138390,부정,0.99997079372406,단어 '규제'이(가) 포함되어 부정적으로 분석되었습니다.
시행전,2025-05-29,사업 방식·이주 대책 '깜깜'…분당신도시 내달 정비물량 축소될 듯,https://n.news.naver.com/article/015/0005138388,긍정,0.999777615070343,단어 '대책'이(가) 포함되어 긍정적으로 분석되었습니다.
시행전,2025-05-29,서울 아파트값 17주 연속 상승…세종은 오름폭 주춤,https://n.news.naver.com/article/119/0002962704,긍정,0.953560471534729,단어 '상승'이(가) 포함되어 긍정적으로 분석되었습니다.
시행전,2025-05-29,"동서울터미널, 39층 복합공간 내년 첫 삽 떠 2031년 준공",https://n.news.naver.com/article/015/0005138386,중립,0.999968409538269,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,민간임대 '분양형 실버스테이' 인기 끌까,https://n.news.naver.com/article/015/0005138385,긍정,0.9999674558639526,단어 '인기'이(가) 포함되어 긍정적으로 분석되었습니다.
시행전,2025-05-29,강남 '마지막 노른자' 수서지구 재건축 '탄력',https://n.news.naver.com/article/015/0005138384,중립,0.9997873902320862,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"이문동 새 아파트, 20억 조경석 결국 설치되나…조합 안건 통과",https://n.news.naver.com/article/421/0008283510,중립,0.9999722242355348,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"DL이앤씨, 역세권 입지 ‘e편한세상 동대구역 센텀스퀘어’ 공급",https://n.news.naver.com/article/009/0005500843,중립,0.993987202644348,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"아세아시멘트, 환경 대응형 특수 콘크리트 기술 개발",https://n.news.naver.com/article/366/0001081340,중립,0.9999516010284424,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"한국투자부동산신탁, ‘월드빌라' 소규모 재건축 정비사업 대행자 선정 [한양경제]",https://n.news.naver.com/article/666/0000074070,중립,0.9999643564224244,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"삼성물산, 건설 넘어 플랫폼으로…홈닉 ·바인드로 공간 혁신",https://n.news.naver.com/article/277/0005600588,중립,0.6561672687530518,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"지방 광역시 집값 약세…""울산은 예외""",https://n.news.naver.com/article/031/0000936471,중립,0.999948263168335,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,서울은 뜨겁고 지방은 싸늘…“집값 격차 더 벌어진다”,https://n.news.naver.com/article/119/0002962662,중립,0.9499099254608154,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,'7천가구 한숲시티 옆' 힐스테이트 용인마크밸리 선착순 공급,https://n.news.naver.com/article/648/0000036611,중립,0.9999699592590332,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"[게시판] 한국부동산분석학회, 30일 상반기 학술대회 개최",https://n.news.naver.com/article/001/0015420387,중립,0.9959296584129332,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"'재건축 테마주' 된 아파트, 서울 집값 끌어올려…지방은 52주째 하락",https://n.news.naver.com/article/277/0005600552,부정,0.9862760305404664,단어 '하락'이(가) 포함되어 부정적으로 분석되었습니다.
시행전,2025-05-29,'금융위기'급 성장률 0.8%…하반기 금리 2회 인하 가능성,https://n.news.naver.com/article/001/0015420348,부정,0.9999650716781616,단어 '위기'이(가) 포함되어 부정적으로 분석되었습니다.
시행전,2025-05-29,"레미콘연합회, 복합형 고성능 감수제 개발",https://n.news.naver.com/article/009/0005500807,중립,0.9999730587005616,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"현대건설, '힐스테이트 용인마크밸리' 선착순 분양",https://n.news.naver.com/article/215/0001210964,중립,0.9998892545700072,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"""이게 얼마짜리인데..."" 겁도 없이 사는 사람들, 지금은",https://n.news.naver.com/article/014/0005356658,중립,0.9950107336044312,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"""전셋집 찾기 힘드네""…서울 빌라 임대차 계약 60%가 월세",https://n.news.naver.com/article/469/0000867511,중립,0.9999336004257202,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"부활한 비아파트 ‘6년 단기등록임대’, 빌라·오피스텔 임대시장 살릴까",https://n.news.naver.com/article/243/0000078785,중립,0.9999558925628662,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"삼성역에서도 수하물 미리 부치고 체크인, 빈손 출국",https://n.news.naver.com/article/032/0003372856,중립,0.9995583891868592,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,“청약통장도 필요없다”…‘힐스테이트 용인마크밸리’ 선착순 계약 순항,https://n.news.naver.com/article/009/0005500779,중립,0.9991596937179564,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"홈즈컴퍼니, 모건 스탠리와 손잡고 코리빙 '홈즈 안암' 열어",https://n.news.naver.com/article/014/0005356652,중립,0.9999704360961914,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"중랑구, 면목7구역 조합원 부담금 4천만원 줄여 정비계획 변경",https://n.news.naver.com/article/003/0013274730,부정,0.9999696016311646,단어 '부담'이(가) 포함되어 부정적으로 분석되었습니다.
시행전,2025-05-29,“주택공급 목표·시기·방법 안보인다”…유력 대선주자들 부동산 해법 살펴보니,https://n.news.naver.com/article/009/0005500774,중립,0.9999648332595824,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,금리인하 ‘호재’ vs 대출축소 ‘악재’...7월이후 부동산 시장 어디로,https://n.news.naver.com/article/009/0005500771,긍정,0.9998713731765748,단어 '호재'이(가) 포함되어 긍정적으로 분석되었습니다.
시행전,2025-05-29,새만금 스마트 수변도시 2공구 조성공사 발주…공사비 3553억,https://n.news.naver.com/article/421/0008283143,중립,0.999543070793152,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,수서·일원 1만6000가구 '최고 40층' 재건축 시동[집슐랭],https://n.news.naver.com/article/011/0004491337,중립,0.9998939037322998,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"[단독] '20억 조경석' 결국 정식 설치됐다…조합측 ""안건 통과""",https://n.news.naver.com/article/014/0005356640,중립,0.9998971223831176,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,반등했던 세종 집값 상승 폭 축소… 대전·충남은 여전히 하락세,https://n.news.naver.com/article/656/0000134186,긍정,0.9999392032623292,단어 '상승'이(가) 포함되어 긍정적으로 분석되었습니다.
시행전,2025-05-29,구리갈매역세권 단독주택·근생 용지 125필지 공급,https://n.news.naver.com/article/469/0000867487,중립,0.9999734163284302,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"'분양형 노인복지주택'은 안 되고, '분양형 실버스테이' 되고…이유는?",https://n.news.naver.com/article/015/0005138319,중립,0.9951775074005128,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,‘주거 플랫폼’으로 공간 혁신 선도,https://n.news.naver.com/article/469/0000867480,중립,0.9996966123580932,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,“일하는 방식을 바꾸자”… ‘프로답게’ 캠페인,https://n.news.naver.com/article/469/0000867478,중립,0.8932626247406006,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,일·가정 양립문화 앞장 ‘가족친화기업’ 인증받아,https://n.news.naver.com/article/469/0000867477,중립,0.9999600648880004,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,“똘똘한 한 채 열풍이라더니”…지칠 줄 모르고 오르는 강남 집값,https://n.news.naver.com/article/009/0005500751,중립,0.9430673718452454,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,미래세대가 튼튼하게… ‘도심 속 놀이터’ 선물,https://n.news.naver.com/article/469/0000867474,중립,0.9999669790267944,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,아파트 경매서 ‘0’ 하나 더 써서 33억 낙찰…차 한 대 값 날렸다 [부동산360],https://n.news.naver.com/article/016/0002478335,중립,0.9995412826538086,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"직방, 수요자 맞춤형 매물 추천 '찾아줘 신혼집' 출시",https://n.news.naver.com/article/003/0013274545,중립,0.9999462366104126,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,멈출 줄 모르는 서울 아파트값 상승…양극화 '뚜렷',https://n.news.naver.com/article/374/0000443279,긍정,0.9992305040359496,단어 '상승'이(가) 포함되어 긍정적으로 분석되었습니다.
시행전,2025-05-29,"홈즈컴퍼니, 모건스탠리와 고려대 앞에 코리빙 '홈즈 안암' 개관",https://n.news.naver.com/article/015/0005138299,중립,0.9999721050262452,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"“한강뷰는 공공이나, 임대주택 몇 채가 로또 돼선 안돼” 형평성 논란 [부동산360]",https://n.news.naver.com/article/016/0002478322,중립,0.999916672706604,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"양평 신동아아파트, 여의도 따라 49층 고층 아파트 탈바꿈",https://n.news.naver.com/article/014/0005356617,중립,0.999777376651764,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,삼성역서도 출국 전 미리 수하물 위탁…'이지드랍' 도입,https://n.news.naver.com/article/119/0002962599,중립,0.999968647956848,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,여수시청별관 신축 통합청사 본격 추진 소식에 여수 주상복합 `쌍용 더 플래티넘 여수35`이목 집중,https://n.news.naver.com/article/029/0002958298,중립,0.9995564818382264,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,서울 집값 상승폭 다시 커져…매수의향도 3월 수준 회복,https://n.news.naver.com/article/003/0013274453,긍정,0.9999419450759888,단어 '상승'이(가) 포함되어 긍정적으로 분석되었습니다.
시행전,2025-05-29,"홈즈컴퍼니-모건스탠리, 고려대 앞에 코리빙 `홈즈 안암` 오픈",https://n.news.naver.com/article/029/0002958296,중립,0.9999651908874512,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,전세가율 2년 4개월來 최고…여주·이천은 80% 넘어 전국서 가장 높아,https://n.news.naver.com/article/366/0001081252,중립,0.9999243021011353,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,서울 아파트값 17주 연속 올랐다…재건축 기대에 '강남 3구' 강세,https://n.news.naver.com/article/422/0000744946,중립,0.9998109936714172,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"‘한강벨트’ 재건축 대기만 5만 가구, 서울시 ‘기브앤테이크’ 동의할까 [부동산360]",https://n.news.naver.com/article/016/0002478304,중립,0.9999767541885376,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,5월 분양 15곳 중 4곳만 '완판'...흥행 참패에 쌓여가는 미분양,https://n.news.naver.com/article/025/0003444457,중립,0.9990620017051696,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,'새만금 첫 도시' 스마트 수변도시 2공구 조성공사 본격화,https://n.news.naver.com/article/421/0008282807,중립,0.9999619722366332,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"한은 총재의 경고 ""금리 너무 빨리 낮추면 집값만 끌어올려, 실수 반복 말아야""",https://n.news.naver.com/article/029/0002958292,중립,0.9998658895492554,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,“서울 집값 강남만 오르냐고? 관악·노원도 뛴다”…‘전방위 상승’,https://n.news.naver.com/article/022/0004039404,긍정,0.9943221807479858,단어 '상승'이(가) 포함되어 긍정적으로 분석되었습니다.
시행전,2025-05-29,"전세사기 피해자 3만명 육박…LH ""피해지원 신청하세요""",https://n.news.naver.com/article/277/0005600426,중립,0.9890032410621644,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,서울 아파트 매매가 17주 연속 상승… 오름폭도 점차 커져,https://n.news.naver.com/article/025/0003444450,긍정,0.9918949007987976,단어 '상승'이(가) 포함되어 긍정적으로 분석되었습니다.
시행전,2025-05-29,"GS건설, ‘자이’ 단지에 개인 맞춤형 보관 ‘미니창고 다락’ 도입",https://n.news.naver.com/article/029/0002958284,중립,0.999955415725708,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"이창용 ""금리 정책, 부동산 자극 가능성…새 정부와 공감 기대""",https://n.news.naver.com/article/422/0000744927,중립,0.9999709129333496,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,무등산 자락의 압도적 쾌적함 누린다 ‘무등산 우방 아이유쉘’ 6월 분양 예정,https://n.news.naver.com/article/016/0002478280,중립,0.8498625159263611,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,'힐스테이트 용인마크밸리' 선착순 계약 순항,https://n.news.naver.com/article/417/0001080048,중립,0.9999642372131348,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"전세사기특별법 2년 연장…광양시 ""피해신청 지속 접수""",https://n.news.naver.com/article/421/0008282701,중립,0.9999693632125854,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-29,"李·金 ""재건축·재개발 활성화…세종 행정수도"" 한 목소리",https://n.news.naver.com/article/003/0013274193,긍정,0.999971866607666,단어 '활성화'이(가) 포함되어 긍정적으로 분석되었습니다.
시행전,2025-05-29,"""먼지 묻은 채로 투표하라고?""…LH 건설현장 144곳 선거일에도 정상근무",https://n.news.naver.com/article/277/0005600412,중립,0.9999631643295288,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"평촌신도시 선도지구 '꿈마을민백', 예비사업시행자 지정",https://n.news.naver.com/mnews/article/015/0005139047,중립,0.9999688863754272,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"""장화 신고 들어가, 구두 신고 나온다""… `신분평 더웨이시티 제일풍경채`, 어떤 단지길래?",https://n.news.naver.com/mnews/article/029/0002958546,중립,0.797369122505188,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"월급, 주식, 부동산, 연금에 붙는 세금이 궁금해…‘난생처음 세금여행’[신간]",https://n.news.naver.com/mnews/article/032/0003373152,중립,0.5780583620071411,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,“이러다 유령 나올라”…20개월 연속 늘어났다는 ‘준공 후 미분양’,https://n.news.naver.com/mnews/article/009/0005501667,중립,0.9993860721588136,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"GS건설, ‘디어 자이안’ 캠페인 본격 운영",https://n.news.naver.com/mnews/article/020/0003638500,중립,0.9999693632125854,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"삼성물산, 압구정2구역 핵심 금융 파트너십 체결",https://n.news.naver.com/mnews/article/020/0003638499,중립,0.9999226331710817,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,‘신검단 로열파크씨티Ⅱ’ 방송 촬영 명소 급부상,https://n.news.naver.com/mnews/article/020/0003638498,중립,0.9999721050262452,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"법원 ""책임준공 못한 신탁사, PF 대출 원리금 대납해야""",https://n.news.naver.com/mnews/article/015/0005138992,중립,0.999964475631714,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"'맞춤형 주택조사' 청사진 그리는 서울시…""주거여건·대출실태 파악""",https://n.news.naver.com/mnews/article/018/0006027876,중립,0.9998914003372192,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,노후 아파트 180도 변신…'살(LIVE&BUY)'맛 나네요,https://n.news.naver.com/mnews/article/011/0004491917,중립,0.6465230584144592,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,지방에 80% 쏠린 '악성 미분양',https://n.news.naver.com/mnews/article/015/0005138973,중립,0.7372972965240479,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"""주거 조사로는 한계""…서울시, 소득·대출·심리까지 들여다본다",https://n.news.naver.com/mnews/article/421/0008286117,중립,0.980661392211914,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,전국 아파트값 0.08% 상승… 서울 상승·지방 하락 양극화 심화,https://n.news.naver.com/mnews/article/366/0001081711,긍정,0.9997560381889344,단어 '상승'이(가) 포함되어 긍정적으로 분석되었습니다.
시행전,2025-05-30,“첫 단지에 집중한다”… 신분평 도시개발사업 첫 분양 ‘제일풍경채’ 6월 공급,https://n.news.naver.com/mnews/article/020/0003638481,중립,0.9958727955818176,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"""경기 최악인데 충당금 부담까지"" 신탁업계 비명",https://n.news.naver.com/mnews/article/009/0005501584,부정,0.990281105041504,단어 '부담'이(가) 포함되어 부정적으로 분석되었습니다.
시행전,2025-05-30,'준공 후 미분양' 20개월 연속 증가,https://n.news.naver.com/mnews/article/009/0005501582,중립,0.8714090585708618,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"'마래푸'도 全평형 신고가…""금리인하·공급 부족에 더 오를 것""",https://n.news.naver.com/mnews/article/011/0004491894,중립,0.9998852014541626,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,아파트 입주민 민원 3건 중 1건은 ‘주차’… 전년比 비중 4%p 늘어,https://n.news.naver.com/mnews/article/366/0001081705,중립,0.9998762607574464,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,'불꺼진 새집' 2.6만가구…대구선 분양단지 절반이 '눈물의 세일',https://n.news.naver.com/mnews/article/015/0005138932,중립,0.732966423034668,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,반값에 나와도 유찰…지방 경매도 '찬바람',https://n.news.naver.com/mnews/article/015/0005138930,중립,0.6118915677070618,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,세제 혜택 주는 ‘단기 등록 임대주택’ 제도 부활에도 시장은 ‘시큰둥’,https://n.news.naver.com/mnews/article/366/0001081691,중립,0.9538282752037048,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,“조합장 성과급이 38억?”평촌 재개발 억소리 나는 성과급 지급안 통과 [부동산360],https://n.news.naver.com/mnews/article/016/0002478951,중립,0.9992245435714722,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"4월 주택 매매, 1년새 7000건 늘었다… 전월세는 1.7만건 감소",https://n.news.naver.com/mnews/article/417/0001080434,중립,0.9998314380645752,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,불 꺼진 아파트 11년8개월 만에 최대…지방 어쩌나,https://n.news.naver.com/mnews/article/215/0001211121,중립,0.926225244998932,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,책준 1심 '전액 배상' 판결…신탁사 1.6조 줄소송 위기,https://n.news.naver.com/article/011/0004491864,부정,0.9995198249816896,단어 '위기'이(가) 포함되어 부정적으로 분석되었습니다.
시행전,2025-05-30,"“11인의 마스터가 함께 만든다”…포스코이앤씨, '오티에르 용산' 정조준",https://n.news.naver.com/article/277/0005601231,중립,0.9858239889144896,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"법원, 책임준공 손해배상 첫 인정…""준공기한 어긴 신탁사 전액배상""",https://n.news.naver.com/article/421/0008285914,중립,0.999953031539917,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"""층간소음 저감과 난방 에너지 절감, 동시에 잡는다""",https://n.news.naver.com/article/014/0005357247,중립,0.9995655417442322,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"HDC현대산업개발, 지속 가능한 복합개발 제시…용산정비창에 적용",https://n.news.naver.com/article/277/0005601218,중립,0.9999758005142212,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,‘힐스테이트 용인마크밸리’ 선착순 계약,https://n.news.naver.com/article/032/0003373124,중립,0.9999645948410034,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"대방건설, ‘북수원이목지구 디에트르 더리체 Ⅱ’ 내일부터 잔여세대 선착순 분양",https://n.news.naver.com/article/277/0005601198,중립,0.9999617338180542,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,대선 영향에 분양 시장 한산…서울만 '활기',https://n.news.naver.com/article/014/0005357231,중립,0.999729573726654,문맥 상 중립을 나타내고 있습니다.
시행전,2025-05-30,"""요즘 살맛납니다"" 이제야 이름값 하는 이동네, 신바람난 주민들",https://n.news.naver.com/article/014/0005357227,중립,0.9997765421867372,문맥 상 중립을 나타내고 있습니다.
